SubjectName 008,SessionNumber 1,Experiment Name: SternbergMobile_fixedList,

Trial,NSPrac-OnsetError,NSPrac-OnsetTime,NSPrac-StimulusOnsetError,NSPrac-StimulusOnsetTime,Mask-StimulusOnsetError,Mask-StimulusOnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-StimulusOnsetError,ProbePrac-StimulusOnsetTime,ProbePrac-TouchScreen-IsCorrect,ProbePrac-TouchScreen-ResponseTime,ProbePrac-TouchScreen-Responses,Feedback1-StimulusOnsetError,Feedback1-StimulusOnsetTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes,
1,-2999.460333334282,12586130.647416666,-2977.1298333331943,12586152.977916667,14.037124998867512,12589167.015041666,3.4495000001043081,12591170.464541666,5.9860416688024998,12591173.001083335,1,12049.476124996319,yes,19.821750000119209,12603256.114083335,6,Yes,8 7 9 4 3 6,8,
2,0.023208331316709518,12605756.142583333,5.0501666646450758,12605761.169541666,5.0628333352506161,12608766.232375002,3.4205416664481163,12610769.652916668,5.4594583325088024,12610771.691833334,1,2471.5281666666269,yes,20.01799999922514,12613273.429541666,6,Yes,5 3 7 8 4 1,7,
3,0.023125002160668373,12615773.458083335,4.4442083351314068,12615777.879166668,5.0836249981075525,12618782.962791666,3.4521249998360872,12620786.414916666,7.5840000007301569,12620790.546791667,1,1696.6775416675955,no,18.484208332374692,12622506.936875001,6,No,1 2 4 7 5 3,6,
4,0.023000000044703484,12625006.965041667,4.4769166670739651,12625011.418958334,5.1837499998509884,12628016.602708334,3.6055833343416452,12630020.208291668,5.6263333335518837,12630022.229041668,1,1246.5527916662395,yes,19.867541667073965,12631291.218083333,2,Yes,3 9,3,
5,0.02383333258330822,12633791.247291667,4.5158750005066395,12633795.739333335,5.1294583324342966,12636800.868791668,3.4243333321064711,12638804.293125,5.5249166656285524,12638806.393708333,1,1754.5167916696519,no,19.748624999076128,12640591.520958334,6,No,5 4 7 6 3 1,2,
6,0.024000000208616257,12643091.550666668,4.578999999910593,12643096.105666667,5.0647083334624767,12646101.170375001,3.4415416661649942,12648104.611916667,5.4967916663736105,12648106.667166667,1,3430.2249166648835,yes,19.695541666820645,12651558.554000001,6,Yes,5 3 7 8 4 1,7,
7,0.022791668772697449,12654058.582166668,4.5164166688919067,12654063.075791668,5.3344999998807907,12657068.410291668,3.4252083320170641,12659071.8355,5.6505416668951511,12659074.060833335,1,1363.9871249981225,yes,18.701416667550802,12660458.905750001,4,Yes,1 3 8 2,1,
8,0.024499999359250069,12662958.935833335,4.4422083310782909,12662963.353541667,5.1806666664779186,12665968.534208333,3.8035833332687616,12667972.337791666,5.9085416682064533,12667974.442750001,1,1235.4412083346397,no,20.099624998867512,12669243.460833333,2,No,3 1,5,
9,0.02395833283662796,12671743.490291666,4.5022083334624767,12671747.968541667,5.047041667625308,12674753.015583334,3.6757916677743196,12676756.691375002,5.8128333315253258,12676758.828416666,1,1093.2517083361745,yes,20.566583333536983,12677877.736291667,6,Yes,1 3 2 5 8 6,3,
10,0.023375000804662704,12680377.765166668,4.407833332195878,12680382.149625,6.7365416679531336,12683388.886166668,3.5263333339244127,12685392.412500001,5.4369583334773779,12685394.323125001,1,1009.4715833347291,yes,20.342791667208076,12686427.994125001,4,Yes,3 5 8 4,8,
11,0.02462499774992466,12688928.024291666,4.7510833311825991,12688932.75075,5.0555833335965872,12691937.806333333,3.4274583347141743,12693941.233791668,5.3406250011175871,12693943.146958334,1,1367.6105416677892,yes,19.932208333164454,12695344.755541667,2,Yes,2 3,2,
12,0.025000002235174179,12697844.786000002,4.7811250016093254,12697849.542125002,4.2726249992847443,12700853.814750001,3.4217499997466803,12702857.236500001,5.5042916666716337,12702859.319041668,1,1095.8000000007451,no,20.629958333447576,12703979.277250001,6,No,5 4 7 6 3 1,2,
13,0.023958334699273109,12706479.306625001,4.5393750015646219,12706483.822041668,5.1819999981671572,12709489.004041666,3.5046250019222498,12711492.508666668,5.4560000021010637,12711494.460041668,1,958.81720833294094,yes,19.178208332508802,12712478.284,4,Yes,1 8 9 6,8,
14,0.023541666567325592,12714978.313375,4.6759583335369825,12714982.965791667,5.1440000012516975,12717988.109791668,3.4589583333581686,12719991.568750001,5.9365416653454304,12719994.046333333,1,1832.5619166698307,no,17.476624999195337,12721845.673458334,6,No,1 2 4 7 5 3,6,
15,0.024791667237877846,12724345.703750001,4.7181249987334013,12724350.397083333,5.2085416670888662,12727355.605625,3.7390416674315929,12729359.344666667,5.823958333581686,12729361.429583333,1,962.11650000326335,no,19.398499999195337,12730345.934291666,2,No,2 3,8,
16,0.025666665285825729,12732845.96525,4.6095416657626629,12732850.549125001,5.2340416666120291,12735855.783166667,3.8921249993145466,12737859.675291667,6.2681666668504477,12737862.051333334,1,1777.7332083322108,no,20.321208331733942,12739664.3095,4,No,5 7 4 1,6,
17,0.025083333253860474,12742164.34025,6.0656666681170464,12742170.380833335,5.0670416653156281,12745175.447875001,3.4243333339691162,12747178.872208335,5.3637916669249535,12747180.811666667,1,1103.5910833347589,yes,19.514041667804122,12748314.140625002,6,Yes,1 3 2 5 8 6,3,
18,0.021874997764825821,12750814.16825,4.4367916639894247,12750818.583166666,5.1859583351761103,12753823.769125002,3.5609166659414768,12755827.330041667,5.6662916671484709,12755829.435416669,1,1470.68804166466,yes,19.453125,12757331.087666668,2,Yes,5 7,7,
19,0.023874999955296516,12759831.132541668,4.7828749995678663,12759835.891541667,5.4952916670590639,12762841.386833334,3.4919166658073664,12764844.87875,5.7088333331048489,12764847.095666667,1,966.1589999999851,yes,19.196999998763204,12765847.917458333,6,Yes,8 7 9 4 3 6,8,
20,0.024249998852610588,12768347.947083334,4.7219999991357327,12768352.644833334,5.0683750007301569,12771357.713208335,3.4737500008195639,12773361.186958335,5.5199999995529652,12773363.233208334,1,1295.5414583347738,no,19.954874997958541,12774682.5635,4,No,7 2 5 4,3,

Trial,NumberSet-OnsetError,NumberSet-OnsetTime,NumberSet-StimulusOnsetError,NumberSet-StimulusOnsetTime,Mask1-StimulusOnsetError,Mask1-StimulusOnsetTime,Probe-OnsetError,Probe-OnsetTime,Probe-StimulusOnsetError,Probe-StimulusOnsetTime,Probe-TouchScreen-IsCorrect,Probe-TouchScreen-ResponseTime,Probe-TouchScreen-Responses,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes,
1,-2999.5591250006109,12798189.826833334,-2989.6122916676104,12798199.773666667,13.062750000506639,12801212.836416667,3.5540833342820406,12803216.390500002,5.5857083331793547,12803218.422125001,1,1362.4301666654646,yes,8,Yes,3 9 6 1 7 5 8 4,7,
2,0.024208333343267441,12805086.53125,2.8448750004172325,12805089.351916667,5.1950000002980232,12808094.546916667,3.7032916657626629,12810098.250208333,5.7799999993294477,12810100.326916667,1,897.88258333317935,yes,8,Yes,5 4 1 3 2 8 7 6,5,
3,0.023458331823348999,12811502.214708334,2.819124998524785,12811505.010375001,5.126375000923872,12814510.136750001,3.4204166661947966,12816513.557166668,5.6719999983906746,12816515.80875,1,867.33183333277702,no,2,No,1 5,8,
4,0.024041667580604553,12817902.311125001,2.8256666678935289,12817905.112750001,5.1666666679084301,12820910.279416669,3.5019999984651804,12822913.781416668,5.8117083311080933,12822916.091125,1,2235.6378333326429,no,8,No,7 1 4 8 9 2 5 3,6,
5,0.023666668683290482,12825671.309666669,2.6419583335518837,12825673.927958334,5.3392500001937151,12828679.267208334,3.5616666655987501,12830682.828875,5.4843333326280117,12830684.751541667,1,2630.9932916667312,no,6,No,4 5 7 9 2 6,8,
6,0.023791667073965073,12833821.032958334,2.8060000017285347,12833823.815166669,5.2077916655689478,12836829.022958335,3.6486666668206453,12838832.671625001,5.5752916671335697,12838834.598250002,1,944.83566666580737,no,4,No,5 6 2 8,3,
7,0.02512500062584877,12840286.547791667,2.8680000007152557,12840289.390666667,5.0653750002384186,12843294.456041668,3.4318333324044943,12845297.887875,5.3606666661798954,12845299.816708334,1,1112.1610833331943,no,4,No,1 6 3 8,9,
8,0.025291664525866508,12846922.27275,2.9435416646301746,12846925.191,4.2745000012218952,12849929.465500001,3.4516666661947966,12851932.917166667,5.5529999993741512,12851935.0185,0,1859.1305416673422,yes,8,No,7 5 2 6 4 1 3 8,9,
9,0.023916665464639664,12854306.144666666,2.8484583329409361,12854308.969208334,5.1870833337306976,12857314.156291667,3.4266249984502792,12859317.582916666,5.3304166682064533,12859319.486708336,1,814.41379166580737,no,2,No,8 3,6,
10,0.024374999105930328,12860637.532500001,3.7874583341181278,12860641.295583336,5.0674583315849304,12863646.363041667,3.4255416672676802,12865649.788583335,5.5579166673123837,12865651.920958335,1,1312.2633749973029,no,6,No,2 6 5 9 3 1,7,
11,0.023416666314005852,12867471.193500001,2.6587916668504477,12867473.828875002,5.2612083330750465,12870479.090083335,3.5101249981671572,12872482.600208333,5.6317500006407499,12872484.721833335,1,879.75645833276212,yes,2,Yes,2 3,2,
12,0.023458333685994148,12873872.229791667,2.635583333671093,12873874.841916667,4.4936666674911976,12876879.335583335,3.6847083326429129,12878883.020291667,5.6680416651070118,12878885.003625,1,981.22720833308995,yes,4,Yes,2 6 1 3,2,
13,0.023874999955296516,12880370.125416668,2.7230416648089886,12880372.824583333,5.3120833355933428,12883378.136666669,3.5112499985843897,12885381.647916667,5.4245833326131105,12885383.561250001,1,2017.917000003159,no,2,No,6 5,3,
14,0.02395833283662796,12887907.222999999,2.7617916688323021,12887909.960833335,5.1750416643917561,12890915.135875,3.4262916669249535,12892918.562166667,5.8585416674613953,12892920.994416667,1,784.84495833329856,no,2,No,6 8,4,
15,0.024208333343267441,12894223.246875001,2.6465833317488432,12894225.86925,5.2124166674911976,12897231.081666667,3.5502083338797092,12899234.631875001,5.6115416660904884,12899236.693208333,1,2453.6848750039935,yes,6,Yes,7 2 6 1 9 3,7,
16,0.024708334356546402,12902208.701541668,2.7566250022500753,12902211.433458336,6.8032916653901339,12905218.236750001,3.4347083326429129,12907221.671458334,5.3936250004917383,12907223.630375002,1,1168.7404583338648,yes,6,Yes,3 5 8 1 6 2,1,
17,0.02383333258330822,12908909.318166668,2.663875000551343,12908911.958208336,5.0766249988228083,12911917.034833334,3.4348333328962326,12913920.469666667,5.3241249993443489,12913922.358958334,1,633.12412500008941,yes,2,Yes,1 2,2,
18,0.023833334445953369,12915074.426916668,2.7691249996423721,12915077.172208333,5.0804166682064533,12918082.252625002,3.5263749994337559,12920085.779000001,5.9417499992996454,12920088.194375001,1,728.44591666571796,yes,2,Yes,2 7,7,
19,0.53225000016391277,12921324.734750001,3.4955416657030582,12921327.698041666,5.4063750021159649,12924333.104416668,3.4228333327919245,12926336.527250001,5.7093333322554827,12926338.813750001,1,745.67808333225548,yes,2,Yes,2 9,9,
20,0.024458333849906921,12927589.293416668,2.6675833333283663,12927591.936541667,4.4633750002831221,12930596.399916667,3.7705416660755873,12932600.170458334,5.7997916657477617,12932602.199708333,1,794.67583333700895,yes,2,Yes,9 4,9,
21,0.025999998673796654,12933908.348791666,2.7706666681915522,12933911.093458336,4.2874166648834944,12936915.380875001,3.4247083347290754,12938918.805583335,5.3344999998807907,12938920.715375001,0,2395.5065416675061,yes,8,No,6 5 1 4 3 2 7 8,9,
22,0.023541666567325592,12941827.833875,2.6886666677892208,12941830.499000002,5.3355416655540466,12944835.834541667,3.4800416678190231,12946839.314583335,5.8434166684746742,12946841.677958336,1,960.73212499730289,yes,8,Yes,2 6 1 4 7 5 8 3,7,
23,0.025041664019227028,12948307.244999999,2.7395416647195816,12948309.9595,5.0984583348035812,12951315.057958335,3.4638333320617676,12953318.521791667,5.3995416648685932,12953320.4575,1,2464.4699166677892,yes,8,Yes,5 9 2 3 7 6 4 8,9,
24,0.024166665971279144,12956295.233708333,2.7942083328962326,12956298.00375,5.2507916688919067,12959303.254541669,3.4738333318382502,12961306.728375001,5.3949166666716337,12961308.649458336,1,606.95241666398942,yes,2,Yes,6 8,6,
25,0.024166665971279144,12962427.202458333,3.1211666669696569,12962430.299458334,5.2344166673719883,12965435.533875002,3.5639999993145466,12967439.097875001,5.6504166647791862,12967441.184291666,1,634.86541666835546,yes,2,Yes,8 9,8,
26,0.023375000804662704,12968593.635333335,2.8707499988377094,12968596.482708333,5.3198750019073486,12971601.802583335,3.5324166659265757,12973605.335000001,5.6538333334028721,12973607.456416668,1,919.78333333320916,no,4,No,6 4 1 3,2,
27,0.02395833283662796,12975044.753666667,2.6367499995976686,12975047.366458334,5.5179166682064533,12978052.884375002,3.4409166648983955,12980056.325291667,5.7115833330899477,12980058.595958335,1,1573.5959583315998,no,4,No,7 9 2 3,6,
