SubjectName Mt,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,65777.69,0.17,70811.04,1,No,2622.25,6,No,1 2 4 7 5 3,6
2,0.01,75961.05,0.17,80994.39,1,Yes,1566.94,4,Yes,1 8 9 6,8
3,0.01,85094.4,0.17,90127.74,1,No,977.69,6,No,5 4 7 6 3 1,2
4,0.01,93627.75,0.16,98661.09,1,No,1196.33,4,No,5 7 4 1,6
5,0.01,102377.77,0.17,107411.11,1,Yes,958.36,6,Yes,5 3 7 8 4 1,7
6,0.01,110894.45,0.16,115927.79,1,Yes,857.76,6,Yes,8 7 9 4 3 6,8
7,0.01,119311.13,0.17,124344.47,1,Yes,809.11,2,Yes,2 3,2
8,0.01,127677.81,0.16,132711.15,1,No,938.49,2,No,2 3,8
9,0.02,136177.83,0.16,141211.17,1,Yes,870.54,2,Yes,3 9,3
10,0.01,144611.18,0.17,149644.52,1,Yes,989.21,6,Yes,1 3 2 5 8 6,3
11,0.01,153161.2,0.16,158194.54,1,No,455.25,6,No,5 4 7 6 3 1,2
12,0.02,161177.88,0.17,166211.22,1,No,4302.7,6,No,1 2 4 7 5 3,6
13,0.01,173044.57,0.17,178077.91,0,No,1156,6,Yes,1 3 2 5 8 6,3
14,0.01,181761.25,0.17,186794.59,1,No,1295.39,2,No,3 1,5
15,0.02,190611.27,0.17,195644.61,1,Yes,693.42,2,Yes,5 7,7
16,0.01,198861.28,0.16,203894.63,1,Yes,747.46,6,Yes,5 3 7 8 4 1,7
17,0.02,207177.96,0.17,212211.31,1,Yes,694.86,6,Yes,8 7 9 4 3 6,8
18,0.02,215427.98,0.16,220461.33,1,No,1028.88,4,No,7 2 5 4,3
19,0.02,224011.33,0.17,229044.67,1,Yes,1333.56,4,Yes,1 3 8 2,1
20,0.02,232911.35,0.26,237944.69,1,Yes,1353.63,4,Yes,3 5 8 4,8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NumberSet-OnsetError,NumberSet-OnsetTime,Probe-OnsetError,Probe-OnsetTime,Probe-Mouse-IsCorrect,Probe-Mouse-Responses,Probe-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,246511.37,0.16,251544.72,1,Yes,817.6,2,Yes,5 4 ,5
2,0.01,252878.05,0.2,257911.4,0,No,939.01,6,Yes,8 6 1 9 5 7 ,5
3,0.02,259361.4,0.16,264394.74,1,Yes,1039.7,2,Yes,6 4 ,6
4,0.02,265944.74,0.17,270978.09,1,No,1320.39,4,No,6 1 5 7 ,9
5,0.02,272811.42,0.23,277844.77,1,No,837.75,8,No,7 5 1 4 2 9 8 3 ,6
6,0.01,279194.77,0.17,284228.11,0,No,790.47,4,Yes,1 5 6 8 ,1
7,0.01,285528.11,0.15,290561.46,1,No,1113.14,6,No,3 4 9 6 8 2 ,1
8,0.01,292178.13,0.16,297211.47,1,Yes,928.62,8,Yes,7 3 2 5 9 4 6 1 ,9
9,0.02,298644.81,0.15,303678.15,1,Yes,1028.53,2,Yes,5 7 ,5
10,0.02,305211.49,0.17,310244.83,0,No,3557.91,4,Yes,2 4 6 5 ,5
11,0.02,314311.5,0.15,319344.85,0,No,4177.96,4,Yes,9 7 5 6 ,6
12,0.02,324028.19,0.16,329061.53,0,No,2557.32,6,Yes,4 5 8 9 7 3 ,9
13,0.01,332128.2,0.16,337161.55,1,No,6969.38,2,No,1 7 ,6
14,0.01,344644.89,0.17,349678.24,1,Yes,732.71,6,Yes,8 2 6 5 9 3 ,2
15,0.02,350911.57,0.16,355944.92,0,No,18866.18,4,Yes,6 9 8 5 ,8
16,0.02,375311.62,0.17,380344.96,1,No,1010.22,8,No,8 1 3 9 6 2 5 4 ,7
17,0.01,381861.63,0.16,386894.98,0,No,796.19,6,Yes,9 1 8 4 7 5 ,4
18,0.01,388194.98,0.17,393228.32,1,No,1374.92,6,No,4 2 8 3 1 9 ,6
19,0.01,395111.66,0.16,400145,1,No,1130.29,4,No,3 9 7 1 ,4
20,0.01,401778.34,0.16,406811.68,1,Yes,1199.65,4,Yes,1 3 8 6 ,1
21,0.02,408528.35,0.16,413561.69,1,Yes,1761.65,4,Yes,1 4 5 3 ,3
22,0.02,415828.36,0.17,420861.71,0,No,1287.37,4,Yes,9 8 6 7 ,8
23,0.01,422661.71,0.15,427695.06,1,Yes,1254.25,4,Yes,3 5 6 4 ,4
24,0.01,429461.73,0.16,434495.07,1,Yes,708.39,6,Yes,9 1 7 3 2 4 ,4
25,0.01,435711.73,0.17,440745.08,1,No,1050.43,2,No,6 5 ,8
26,0.01,442311.75,0.16,447345.09,1,Yes,938.46,4,Yes,7 5 3 1 ,1
27,0.02,448795.09,0.16,453828.44,0,No,1151.15,8,Yes,7 9 1 5 8 2 4 6 ,4
28,0.01,455495.11,0.16,460528.45,1,Yes,1507.92,4,Yes,4 3 2 5 ,4
29,0.01,462545.12,0.16,467578.47,1,Yes,1065.2,2,Yes,6 9 ,6
30,0.01,469145.13,0.17,474178.47,1,Yes,1473.24,4,Yes,5 4 7 3 ,5
31,0.01,476161.81,0.16,481195.16,1,Yes,2720.6,2,Yes,5 9 ,5
32,0.02,484428.5,0.16,489461.84,1,No,830.12,4,No,5 8 9 7 ,4
33,0.02,490795.17,0.15,495828.52,1,No,863.29,6,No,7 5 1 3 2 9 ,6
34,0.01,497195.19,0.16,502228.53,1,No,799.35,6,No,1 6 3 7 9 2 ,4
35,0.01,503528.53,0.16,508561.88,1,Yes,1906.05,4,Yes,9 2 8 5 ,5
36,0.01,510978.55,0.24,516011.89,1,No,1810.21,8,No,5 9 8 7 4 6 2 1 ,3
37,0.02,518328.56,0.25,523361.9,1,No,850.14,8,No,6 3 8 4 5 7 2 9 ,1
38,0.02,524728.57,0.16,529761.92,1,Yes,1602.14,4,Yes,1 9 2 3 ,2
39,0.02,531878.59,0.16,536911.93,1,No,1132.16,8,No,2 8 3 4 9 7 6 5 ,1
40,0.01,538545.27,0.27,543578.61,1,No,817.51,4,No,5 3 4 6 ,8
41,0.02,544911.95,0.22,549945.29,1,No,1074.89,8,No,5 3 7 2 4 1 8 6 ,9
42,0.02,551528.63,0.16,556561.97,1,Yes,1194.26,2,Yes,7 8 ,8
