SubjectName HK,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,1214823.81,0.16,1219857.15,1,No,1424.15,2,No,2 3,8
2,0.01,1223807.16,0.17,1228840.51,1,Yes,1536.9,4,Yes,1 8 9 6,8
3,0.01,1232907.18,0.16,1237940.52,1,Yes,1076.93,6,Yes,1 3 2 5 8 6,3
4,0.03,1241540.53,0.16,1246573.87,1,Yes,915.57,6,Yes,5 3 7 8 4 1,7
5,0.01,1250023.88,0.16,1255057.22,1,Yes,1128.29,4,Yes,3 5 8 4,8
6,0.01,1258707.23,0.16,1263740.57,1,Yes,756.97,2,Yes,2 3,2
7,0.01,1267023.91,0.17,1272057.26,1,No,2440.41,6,No,1 2 4 7 5 3,6
8,0.01,1277023.93,0.16,1282057.28,1,Yes,1392.44,4,Yes,1 3 8 2,1
9,0.02,1285973.95,0.16,1291007.29,1,Yes,1018.43,6,Yes,5 3 7 8 4 1,7
10,0.01,1294557.3,0.17,1299590.64,1,Yes,715.16,2,Yes,3 9,3
11,0.01,1302840.65,0.16,1307873.99,1,No,1207.82,2,No,3 1,5
12,0.01,1311607.33,0.16,1316640.68,1,Yes,929.2,6,Yes,8 7 9 4 3 6,8
13,0.01,1320090.68,0.17,1325124.02,1,No,1245.96,6,No,1 2 4 7 5 3,6
14,0.01,1328890.7,0.16,1333924.04,1,Yes,862.01,2,Yes,5 7,7
15,0.02,1337307.38,0.17,1342340.72,1,No,1021.3,4,No,5 7 4 1,6
16,0.01,1345890.73,0.16,1350924.08,1,No,782.07,6,No,5 4 7 6 3 1,2
17,0.02,1354240.75,0.16,1359274.09,1,Yes,872.1,6,Yes,1 3 2 5 8 6,3
18,0.01,1362674.1,0.16,1367707.44,1,No,1262.8,6,No,5 4 7 6 3 1,2
19,0.01,1371490.78,0.16,1376524.12,1,Yes,798.15,6,Yes,8 7 9 4 3 6,8
20,0.02,1379857.46,0.16,1384890.8,1,No,1055.55,4,No,7 2 5 4,3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NumberSet-OnsetError,NumberSet-OnsetTime,Probe-OnsetError,Probe-OnsetTime,Probe-Mouse-IsCorrect,Probe-Mouse-Responses,Probe-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,1391307.49,0.15,1396340.83,1,No,837.58,4,No,5 3 4 6 ,8
2,0.01,1397690.83,0.16,1402724.17,1,No,806.27,4,No,6 1 3 4 ,9
3,0.01,1404040.84,0.16,1409074.18,1,Yes,1096.31,6,Yes,7 4 5 3 6 8 ,6
4,0.01,1410674.19,0.16,1415707.53,1,Yes,1207.02,4,Yes,1 5 6 8 ,1
5,0.01,1417424.2,0.15,1422457.54,1,No,1025.04,6,No,4 1 8 6 9 3 ,7
6,0.01,1423990.88,0.17,1429024.22,1,No,666.4,2,No,8 3 ,4
7,0.01,1430207.56,0.15,1435240.9,1,No,953.76,6,No,1 6 3 7 9 2 ,4
8,0.01,1436707.57,0.16,1441740.91,1,No,1301.8,8,No,5 6 2 1 7 3 9 4 ,8
9,0.01,1443557.58,0.16,1448590.93,1,No,731.81,2,No,5 9 ,3
10,0.01,1449824.26,0.16,1454857.6,1,Yes,929.17,8,Yes,6 3 1 7 2 8 4 5 ,4
11,0.01,1456290.94,0.16,1461324.29,1,Yes,1182.5,4,Yes,9 5 7 2 ,7
12,0.01,1463007.62,0.17,1468040.96,1,Yes,769.84,4,Yes,5 4 7 3 ,5
13,0.02,1469324.3,0.16,1474357.64,1,No,4965.3,8,No,2 8 3 4 9 7 6 5 ,1
14,0.01,1479824.32,0.16,1484857.67,1,Yes,881.24,2,Yes,1 3 ,1
15,0.01,1486241,0.16,1491274.34,1,No,2400.68,6,No,3 4 9 6 8 2 ,1
16,0.01,1494191.01,0.17,1499224.36,1,No,810.67,4,No,2 3 8 6 ,9
17,0.02,1500541.03,0.16,1505574.37,1,Yes,1084.71,2,Yes,4 1 ,1
18,0.01,1507174.37,0.17,1512207.72,1,Yes,963.34,4,Yes,4 3 9 2 ,4
19,0.01,1513674.38,0.16,1518707.73,1,Yes,703.43,6,Yes,6 8 1 9 4 3 ,9
20,0.01,1519924.4,0.16,1524957.74,1,No,853.42,6,No,8 1 7 5 3 9 ,2
21,0.02,1526324.41,0.16,1531357.75,1,No,909.42,4,No,1 7 2 5 ,4
22,0.01,1532774.42,0.16,1537807.76,1,Yes,899.46,6,Yes,5 1 2 4 8 9 ,4
23,0.02,1539207.77,0.16,1544241.11,1,No,1122.23,6,No,7 8 3 9 5 1 ,4
24,0.01,1545874.45,0.16,1550907.79,1,No,759.55,6,No,8 3 2 1 9 5 ,4
25,0.01,1552174.46,0.15,1557207.8,1,Yes,619.52,2,Yes,6 7 ,6
26,0.02,1558341.14,0.16,1563374.48,1,Yes,1116.88,8,Yes,9 1 4 3 5 2 8 7 ,8
27,0.01,1565007.82,0.16,1570041.16,1,Yes,642.3,8,Yes,8 4 7 6 5 9 1 3 ,4
28,0.03,1571191.16,0.17,1576224.5,1,No,1339.02,8,No,5 3 7 2 4 1 8 6 ,9
29,0.02,1578074.51,0.16,1583107.85,1,No,967.7,8,No,6 9 7 5 8 2 1 3 ,4
30,0.01,1584591.19,0.16,1589624.53,1,No,843.01,6,No,3 7 6 8 9 4 ,2
31,0.01,1590974.53,0.16,1596007.87,1,Yes,875.76,8,Yes,5 7 4 9 1 8 6 3 ,9
32,0.01,1597391.21,0.16,1602424.56,1,No,859.03,4,No,4 6 8 1 ,3
33,0.01,1603791.22,0.16,1608824.57,1,Yes,828.96,6,Yes,9 3 2 1 8 5 ,9
34,0.01,1610157.9,0.16,1615191.25,1,No,708.49,2,No,1 7 ,6
35,0.02,1616407.92,0.16,1621441.26,1,Yes,834.45,8,Yes,8 2 4 1 3 6 7 9 ,3
36,0.01,1622791.26,0.16,1627824.6,1,Yes,667.16,2,Yes,5 7 ,5
37,0.01,1629007.94,0.16,1634041.28,1,Yes,674.56,2,Yes,1 7 ,1
38,0.01,1635224.62,0.17,1640257.96,1,No,857.94,4,No,6 1 5 7 ,9
39,0.02,1641624.63,0.17,1646657.97,1,Yes,1017.91,2,Yes,8 7 ,7
40,0.01,1648191.31,0.17,1653224.65,1,Yes,715.26,6,Yes,8 5 1 6 3 4 ,4
41,0.01,1654441.32,0.16,1659474.66,1,No,953.35,4,No,1 2 8 7 ,6
