SubjectName sma,SessionNumber 1,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,10310.04,0.31,15325.13,1,Yes,4692.41,6,Yes,1 3 2 5 8 6,3
2,0.02,22546.86,0.3,27561.96,1,No,4471.49,6,No,5 4 7 6 3 1,2
3,0.02,34549.65,0.24,39564.74,1,Yes,1460.73,4,Yes,1 8 9 6,8
4,0.02,43543.37,0.28,48558.47,1,Yes,1202.86,2,Yes,5 7,7
5,0.02,52286.36,0.3,57301.44,1,No,1051.96,2,No,3 1,5
6,0.02,60878.88,0.38,65893.96,1,Yes,2195.45,2,Yes,2 3,2
7,0.02,70608.16,0.3,75623.25,1,No,1282.07,2,No,2 3,8
8,0.02,79417.99,0.25,84433.09,0,No,3872.22,2,Yes,3 9,3
9,0.02,90835.69,0.23,95850.78,1,Yes,1038.49,6,Yes,5 3 7 8 4 1,7
10,0.02,99411.49,0.23,104426.59,1,No,1566.6,4,No,5 7 4 1,6
11,0.02,108522.24,0.26,113537.33,1,No,2439.91,6,No,1 2 4 7 5 3,6
12,0.02,118502.27,0.28,123517.37,1,Yes,1587.8,6,Yes,8 7 9 4 3 6,8
13,0.02,127629.74,0.26,132644.83,1,No,1500.32,4,No,7 2 5 4,3
14,0.02,136673.67,0.23,141688.71,1,Yes,1440.31,6,Yes,1 3 2 5 8 6,3
15,0.02,145650.64,0.28,150665.73,1,No,4119.39,6,No,5 4 7 6 3 1,2
16,0.02,157302.37,0.23,162317.46,1,Yes,1499.64,4,Yes,1 3 8 2,1
17,0.02,166329.53,0.28,171344.62,1,Yes,1672.39,6,Yes,8 7 9 4 3 6,8
18,0.02,175540.58,0.24,180555.68,1,No,1957.24,6,No,1 2 4 7 5 3,6
19,0.02,185035.82,0.27,190050.91,1,Yes,718.07,6,Yes,5 3 7 8 4 1,7
20,0.02,193294.01,0.28,198309.1,1,Yes,1315.87,4,Yes,3 5 8 4,8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NumberSet-OnsetError,NumberSet-OnsetTime,Probe-OnsetError,Probe-OnsetTime,Probe-Mouse-IsCorrect,Probe-Mouse-Responses,Probe-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,207403.13,0.27,212418.23,1,Yes,1038.67,8,Yes,3 2 4 8 1 7 5 6 ,1
2,0.02,213972.9,0.31,218987.99,1,Yes,980.89,2,Yes,3 6 ,3
3,0.02,220475.8,0.23,225490.89,1,No,2389.96,8,No,5 9 8 7 4 6 2 1 ,3
4,0.02,228382.92,0.23,233398.02,1,Yes,2402.77,4,Yes,9 5 7 2 ,7
5,0.02,236306.77,0.23,241321.86,0,No,1198.96,8,Yes,9 8 5 1 6 4 7 3 ,6
6,0.02,243026.99,0.28,248042.09,1,Yes,910.73,2,Yes,7 5 ,5
7,0.02,249463.02,0.25,254478.13,1,Yes,1386.62,8,Yes,3 2 8 6 1 7 5 9 ,5
8,0.02,256367.14,0.28,261382.23,0,Yes,1986.5,2,No,3 2 ,5
9,0.02,263873.06,0.26,268888.16,1,No,2672.53,4,No,1 2 9 6 ,5
10,0.02,272064.37,0.23,277079.46,1,No,1337.25,6,No,8 1 7 5 3 9 ,2
11,0.02,278918.33,0.27,283933.43,1,No,1563.22,4,No,5 8 3 1 ,2
12,0.02,286006.33,0.23,291021.42,1,Yes,1419.28,2,Yes,2 5 ,5
13,0.02,292943.87,0.27,297958.97,1,Yes,977.55,6,Yes,7 2 3 8 9 1 ,3
14,0.02,299446.78,0.28,304461.87,1,No,906.72,2,No,2 3 ,1
15,0.02,305882.81,0.26,310897.9,1,Yes,1022.58,6,Yes,9 2 5 8 1 6 ,1
16,0.02,312435.87,0.3,317450.95,1,No,1669.67,2,No,8 1 ,2
17,0.02,319624.16,0.26,324639.25,1,No,1489.21,6,No,4 2 8 3 1 9 ,6
18,0.02,326645.29,0.28,331660.38,1,No,1084.19,8,No,7 5 9 3 4 6 8 1 ,2
19,0.02,333248.49,0.26,338263.58,1,Yes,1072.93,8,Yes,3 7 6 2 5 8 4 1 ,6
20,0.02,339851.7,0.32,344866.79,1,No,3125.74,6,No,7 9 8 3 2 4 ,6
21,0.02,348494.36,0.23,353509.46,1,No,1546.97,8,No,8 1 3 9 6 2 5 4 ,7
22,0.02,355565.65,0.26,360580.74,1,Yes,1507.72,4,Yes,8 2 1 9 ,2
23,0.02,362603.5,0.29,367618.59,1,No,925.74,2,No,9 5 ,4
24,0.02,369056.25,0.26,374071.34,1,Yes,1024.99,2,Yes,4 1 ,1
25,0.02,375609.3,0.27,380624.4,1,Yes,3183.99,2,Yes,6 7 ,6
26,0.02,384318.84,0.26,389333.94,1,No,2442.37,8,No,5 3 7 2 4 1 8 6 ,9
27,0.02,392292.84,0.22,397307.93,1,No,3236.43,8,No,5 7 8 1 3 4 2 6 ,9
28,0.02,401052.53,0.26,406067.62,1,No,1708.64,4,No,2 3 8 6 ,9
29,0.02,408290.99,0.23,413306.07,1,Yes,2246.17,4,Yes,3 8 7 1 ,1
30,0.02,416064.37,0.25,421079.46,1,Yes,1000.75,6,Yes,6 8 5 3 2 9 ,8
31,0.02,422584,0.23,427599.09,1,No,625.11,2,No,1 2 ,8
32,0.06,428735.84,0.23,433750.93,1,Yes,1321.21,4,Yes,7 5 3 1 ,1
33,0.02,435573.09,0.26,440588.17,1,Yes,1340.01,6,Yes,8 6 1 4 7 2 ,2
34,0.02,442443.75,0.23,447458.84,1,No,2117.21,4,No,5 3 4 6 ,8
35,0.02,450083.42,0.23,455098.51,1,Yes,1813.64,4,Yes,6 2 5 8 ,6
36,0.02,457422.16,0.25,462437.26,1,Yes,2378.83,4,Yes,1 5 6 8 ,1
37,0.02,465329.29,0.28,470344.39,1,Yes,831.65,2,Yes,2 3 ,3
38,0.02,471681.76,0.28,476696.84,1,Yes,799.23,8,Yes,2 8 1 5 6 4 9 7 ,5
39,0.02,478000.76,0.25,483015.86,0,Yes,952.13,8,No,8 7 4 1 9 5 3 2 ,6
40,0.02,484470.23,0.28,489485.33,1,Yes,866.63,8,Yes,8 4 7 6 5 9 1 3 ,4
41,0.02,490856.11,0.27,495871.2,1,Yes,800.81,8,Yes,2 7 8 1 4 5 6 9 ,2
42,0.02,497175.13,0.28,502190.22,1,No,1369.65,6,No,2 1 7 3 6 9 ,4
43,0.02,504062.52,0.25,509077.62,1,Yes,1210.39,8,Yes,7 9 1 5 8 2 4 6 ,4
44,0.02,510799.46,0.28,515814.55,1,No,3241.29,6,No,4 5 3 6 2 8 ,9
45,0.04,519559.15,0.23,524574.25,1,Yes,1265.64,2,Yes,9 1 ,1
46,0.02,526346.25,0.27,531361.34,1,Yes,1886.51,4,Yes,9 6 1 2 ,9
47,0.02,533751.88,0.23,538766.96,1,Yes,1608.87,4,Yes,3 9 4 7 ,4
48,0.02,540890.01,0.28,545905.11,1,Yes,1966.73,2,Yes,6 4 ,6
49,0.02,548379.22,0.26,553394.31,1,Yes,917.45,2,Yes,5 9 ,5
50,0.02,554815.25,0.29,559830.35,1,Yes,1153.43,8,Yes,8 9 5 2 1 4 7 6 ,6
51,0.02,561485.32,0.27,566500.42,1,No,1315.36,8,No,9 3 2 5 7 4 6 8 ,1
52,0.02,568322.56,0.23,573337.66,1,No,1366.09,6,No,3 1 5 4 2 6 ,7
53,0.02,575209.96,0.23,580225.06,1,No,702.62,2,No,2 8 ,5
54,0.02,581428.67,0.28,586443.77,1,No,1003.91,4,No,8 2 3 4 ,7
55,0.02,587948.36,0.23,592963.38,1,Yes,1308.29,4,Yes,3 5 6 2 ,6
56,0.02,594785.54,0.27,599800.64,1,No,1951.11,6,No,4 9 6 8 3 1 ,5
57,0.02,602258.03,0.28,607273.12,1,Yes,6142.49,2,Yes,2 3 ,3
58,0.02,613926.47,0.23,618941.57,1,Yes,4066.09,6,Yes,7 1 8 9 2 3 ,2
59,0.02,623522.02,0.35,628537.11,0,No,1566.52,2,Yes,5 7 ,5
60,0.02,630610.01,0.23,635625.1,0,Yes,1486.5,2,No,9 7 ,4
61,0.02,637614.42,0.23,642629.52,0,No,1569.95,4,Yes,4 3 9 2 ,4
62,0.02,644702.43,0.24,649717.52,1,Yes,1033.86,4,Yes,5 4 7 3 ,5
63,0.02,651255.48,0.23,656270.57,0,No,1336.86,8,Yes,5 8 2 1 4 9 6 3 ,3
64,0.02,658109.44,0.27,663124.53,1,No,1098.83,8,No,6 3 4 2 8 5 1 9 ,7
65,0.02,664729.36,0.23,669744.45,1,Yes,1270.99,2,Yes,7 2 ,2
66,0.02,671516.45,0.35,676531.55,1,No,2155.81,4,No,6 1 5 7 ,9
67,0.02,679189.54,0.29,684204.64,1,No,1098.71,6,No,1 6 3 7 9 2 ,4
68,0.02,685809.46,0.27,690824.56,1,Yes,2782.78,4,Yes,1 4 5 3 ,3
69,0.02,694117.8,0.26,699132.89,1,No,1146.47,6,No,5 3 8 9 6 7 ,1
70,0.02,700787.87,0.24,705802.97,1,Yes,1268.34,4,Yes,6 9 8 5 ,8
71,0.02,707574.96,0.28,712590.06,1,Yes,945.15,8,Yes,5 7 4 9 1 8 6 3 ,9
72,0.02,714044.44,0.26,719059.52,1,No,2787.8,4,No,3 9 7 1 ,4
73,0.02,722352.77,0.23,727367.86,1,Yes,1655.39,4,Yes,3 5 6 4 ,4
74,0.02,729524.35,0.31,734539.44,1,Yes,579.77,2,Yes,1 3 ,1
75,0.02,735626.04,0.34,740641.13,1,Yes,1182.05,6,Yes,9 7 1 8 5 4 ,1
76,0.02,742329.55,0.24,747344.65,1,No,2414.59,6,No,7 5 1 3 2 9 ,6
77,0.02,750270.11,0.27,755285.21,1,No,1017.92,8,No,2 8 3 4 9 7 6 5 ,1
78,0.02,756806.46,0.28,761821.54,1,No,1145.58,2,No,8 3 ,4
79,0.02,763476.52,0.28,768491.62,1,No,2867.44,6,No,2 7 4 1 8 5 ,9
80,0.02,771868.45,0.28,776883.54,1,No,1355.5,2,No,6 9 ,3
81,0.05,778755.84,0.29,783770.93,1,No,964.14,6,No,8 3 2 1 9 5 ,4
82,0.02,785242.03,0.23,790257.12,1,No,2581.93,4,No,2 4 9 5 ,8
83,0.02,793349.76,0.28,798364.86,1,Yes,1338.06,2,Yes,5 4 ,5
84,0.02,800203.72,0.23,805218.81,1,Yes,1140.13,4,Yes,1 3 8 6 ,1
85,0.02,806873.82,0.25,811888.88,1,No,958.11,8,No,9 2 7 1 4 5 3 8 ,6
86,0.02,813359.98,0.28,818375.06,1,Yes,1631.93,6,Yes,8 2 6 5 9 3 ,2
87,0.02,820514.84,0.3,825529.93,1,No,3212.95,4,No,6 2 8 1 ,5
88,0.02,829257.82,0.28,834272.91,1,No,2518.05,8,No,7 5 1 4 2 9 8 3 ,6
89,0.02,837298.69,0.28,842313.77,1,No,1629.1,4,No,4 9 3 7 ,6
90,0.02,844453.55,0.27,849468.64,1,Yes,946.22,8,Yes,7 1 6 9 3 4 8 5 ,3
91,0.02,850923.02,0.28,855938.12,1,Yes,1076.73,6,Yes,6 8 1 9 4 3 ,9
92,0.02,857526.23,0.25,862541.32,1,No,1537.51,8,No,6 9 7 5 8 2 1 3 ,4
93,0.02,864580.79,0.27,869595.88,1,No,2650.9,4,No,6 1 3 4 ,9
94,0.02,872755.39,0.3,877770.48,1,Yes,1420.28,4,Yes,4 3 2 5 ,4
95,0.02,879692.93,0.27,884708.02,1,Yes,882.71,8,Yes,6 3 9 1 2 4 7 8 ,1
96,0.02,886095.53,0.23,891110.62,1,No,1144.08,6,No,4 1 8 6 9 3 ,7
97,0.02,892765.61,0.28,897780.71,1,No,1089.98,2,No,1 9 ,4
98,0.02,899385.53,0.3,904400.62,1,No,981.99,8,No,4 6 1 2 3 7 9 5 ,8
99,0.02,905888.43,0.26,910903.52,1,No,2311.09,4,No,8 7 1 3 ,6
100,0.02,913728.69,0.28,918743.79,1,Yes,1598.88,6,Yes,5 9 1 7 8 4 ,4
101,0.02,920850.12,0.3,925865.24,0,Yes,2909.34,4,No,5 8 9 7 ,4
102,0.02,929275.49,0.33,934290.58,1,Yes,1732.05,2,Yes,7 8 ,8
103,0.02,936530.64,0.23,941545.74,1,Yes,1012.81,6,Yes,1 4 9 6 8 7 ,7
104,0.02,943066.98,0.28,948082.08,1,Yes,988.48,8,Yes,8 2 4 1 3 6 7 9 ,3
105,0.02,949586.61,0.28,954601.7,1,Yes,1436.77,6,Yes,9 1 8 4 7 5 ,4
106,0.02,956540.86,0.23,961555.96,1,No,1730.54,6,No,1 5 3 2 7 9 ,8
107,0.02,963796.03,0.23,968811.13,1,No,2315.33,4,No,1 7 2 5 ,3
108,0.02,971636.3,0.28,976651.39,1,No,1499.06,2,No,9 7 ,2
109,0.02,978657.42,0.28,983672.53,1,No,1405.91,2,No,5 9 ,3
110,0.02,985594.97,0.26,990610.06,1,Yes,732.32,2,Yes,2 1 ,2
111,0.02,991847.12,0.23,996862.21,1,Yes,936.21,6,Yes,1 6 9 8 5 2 ,8
112,0.02,998299.88,0.27,1003314.97,1,No,1131.38,2,No,2 7 ,4
113,0.02,1004953.23,0.27,1009968.33,1,No,853.93,2,No,8 6 ,7
114,0.02,1011339.11,0.27,1016354.2,1,Yes,716.1,8,Yes,6 3 1 7 2 8 4 5 ,4
115,0.02,1017574.54,0.27,1022589.64,1,Yes,1520.68,4,Yes,9 2 8 5 ,5
116,0.02,1024612.39,0.24,1029627.49,1,Yes,1562.84,2,Yes,9 1 ,9
117,0.02,1031700.39,0.23,1036715.48,1,No,2330.73,6,No,4 2 5 7 8 1 ,9
118,0.02,1039557.38,0.25,1044572.46,1,Yes,817.77,4,Yes,9 8 6 7 ,8
119,0.02,1045893.1,0.27,1050908.2,0,Yes,2874.02,2,No,7 6 ,9
120,0.02,1054285.02,0.28,1059300.12,1,Yes,1186.12,6,Yes,9 5 6 8 1 2 ,2
121,0.06,1060988.53,0.25,1066003.62,1,Yes,970.6,6,Yes,4 5 8 9 7 3 ,9
122,0.02,1067491.43,0.23,1072506.52,1,No,2003.6,2,No,3 1 ,9
123,0.03,1075014.07,0.24,1080029.17,1,Yes,1160.9,8,Yes,2 5 9 8 1 7 6 4 ,8
124,0.02,1081700.86,0.25,1086715.95,1,No,2378.21,4,No,1 7 9 6 ,3
125,0.02,1089607.99,0.27,1094623.08,1,No,5302.98,6,No,3 1 7 2 6 9 ,5
126,0.02,1100440.59,0.28,1105455.69,1,No,4142.42,2,No,9 5 ,4
127,0.02,1110103,0.23,1115118.09,1,No,1511.95,4,No,6 7 1 5 ,2
128,0.02,1117140.85,0.28,1122155.94,1,Yes,954,2,Yes,4 2 ,2
129,0.02,1123627.03,0.28,1128642.14,1,No,1451.78,8,No,6 8 7 5 4 2 1 3 ,9
130,0.02,1130598.01,0.25,1135613.11,1,No,1464.86,8,No,7 3 2 8 5 4 1 9 ,6
131,0.02,1137585.71,0.28,1142600.8,0,Yes,1149.13,2,No,5 7 ,2
132,0.02,1144255.78,0.28,1149270.87,1,No,1351.03,6,No,7 8 3 9 5 1 ,4
133,0.02,1151126.46,0.24,1156141.56,1,No,2240.29,4,No,4 6 8 1 ,3
134,0.02,1158883.13,0.3,1163898.23,1,Yes,1291.6,8,Yes,4 8 5 1 6 9 7 2 ,6
135,0.02,1165703.67,0.27,1170718.75,1,No,1590.99,2,No,6 5 ,8
136,0.02,1172825.09,0.28,1177840.18,1,Yes,1085.58,8,Yes,7 3 2 5 9 4 6 1 ,9
137,0.02,1179428.3,0.26,1184443.39,1,Yes,1770.45,6,Yes,4 1 5 3 9 7 ,5
138,0.02,1186716.9,0.25,1191731.99,1,Yes,2457.73,4,Yes,3 5 2 6 ,3
139,0.02,1194690.89,0.26,1199706,1,No,1363.79,6,No,3 7 6 8 9 4 ,2
140,0.02,1201578.29,0.23,1206593.38,1,No,812.36,2,No,2 7 ,8
141,0.02,1207914.03,0.28,1212929.11,1,No,1012.61,4,No,6 1 5 3 ,4
142,0.02,1214450.36,0.23,1219465.45,1,No,1684.23,4,No,1 7 4 2 ,8
143,0.02,1221655.38,0.27,1226670.47,1,No,711.14,6,No,1 2 8 4 7 5 ,9
144,0.02,1227890.81,0.29,1232905.91,1,Yes,923.72,6,Yes,7 1 4 3 9 2 ,3
145,0.04,1234343.56,0.28,1239358.66,1,No,750.92,2,No,8 5 ,3
146,0.02,1240612.43,0.32,1245627.52,1,No,1786.02,4,No,5 2 7 1 ,8
147,0.02,1247917.74,0.29,1252932.89,1,No,1016.63,4,No,1 7 2 5 ,4
148,0.02,1254454.09,0.28,1259469.22,1,Yes,1480.29,8,Yes,6 3 4 9 7 5 1 8 ,5
149,0.02,1261458.5,0.27,1266473.61,1,No,1627.91,8,No,7 1 9 5 4 3 2 8 ,6
150,0.02,1268613.37,0.24,1273628.46,1,No,1369.03,8,No,5 6 2 1 7 3 9 4 ,8
151,0.02,1275500.76,0.23,1280515.85,0,No,1041.55,2,Yes,9 3 ,3
152,0.02,1282070.53,0.28,1287085.62,1,Yes,1375.89,8,Yes,6 2 4 3 1 7 8 9 ,7
153,0.02,1288974.64,0.27,1293989.74,1,Yes,1415.74,2,Yes,6 9 ,6
154,0.02,1295912.2,0.25,1300927.27,1,No,1494.05,2,No,8 2 ,5
155,0.02,1302933.32,0.27,1307948.4,1,Yes,2104.97,8,Yes,5 2 8 7 3 4 9 1 ,2
156,0.02,1310556.25,0.27,1315571.35,1,Yes,1050.03,8,Yes,9 1 4 3 5 2 8 7 ,8
157,0.02,1317126.03,0.27,1322141.12,1,No,1368.21,8,No,9 6 5 8 7 4 2 3 ,1
158,0.02,1324013.42,0.28,1329028.51,1,Yes,1040.85,2,Yes,6 3 ,3
159,0.02,1330583.19,0.27,1335598.34,1,Yes,1102.95,4,Yes,1 3 4 9 ,3
160,0.03,1337203.11,0.23,1342218.2,1,No,1115.03,8,No,7 2 9 1 5 4 3 6 ,8
161,0.02,1343839.78,0.29,1348854.85,0,No,1894.37,6,Yes,5 1 2 4 8 9 ,4
162,0.02,1351262.09,0.23,1356277.18,1,No,1904.03,4,No,7 8 2 3 ,6
163,0.02,1358684.42,0.28,1363699.51,1,Yes,1225.7,2,Yes,8 2 ,8
164,0.02,1365438.08,0.28,1370453.23,1,No,1496.03,6,No,3 4 9 6 8 2 ,1
165,0.02,1372459.22,0.28,1377474.3,1,No,1050.82,4,No,1 2 8 7 ,6
166,0.02,1379028.98,0.28,1384044.08,1,No,1104.96,6,No,9 1 3 4 7 2 ,5
167,0.02,1385665.63,0.27,1390680.71,1,Yes,1916.41,4,Yes,1 9 2 3 ,2
168,0.02,1393104.68,0.28,1398119.77,1,Yes,1141.33,6,Yes,9 3 2 1 8 5 ,9
169,0.02,1399774.79,0.23,1404789.85,1,No,1039.22,6,No,1 6 7 2 9 4 ,8
170,0.02,1406344.53,0.27,1411359.61,1,Yes,1613.46,2,Yes,7 8 ,8
171,0.02,1413482.67,0.4,1418497.76,1,Yes,1875.24,4,Yes,9 7 5 6 ,6
172,0.02,1420888.29,0.26,1425903.39,1,Yes,1245.56,6,Yes,8 6 1 9 5 7 ,5
173,0.02,1427658.66,0.28,1432673.76,1,Yes,2051.22,4,Yes,2 4 6 5 ,5
174,0.02,1435231.46,0.23,1440246.55,1,No,2990.42,4,No,4 8 1 5 ,9
175,0.02,1443740.4,0.28,1448755.48,1,No,1281.45,4,No,2 6 8 5 ,1
176,0.02,1450544.21,0.23,1455559.29,1,Yes,1149.62,8,Yes,8 9 4 1 7 6 3 2 ,7
177,0.02,1457214.29,0.27,1462229.37,1,No,1103.48,2,No,5 7 ,8
178,0.02,1463834.24,0.24,1468849.29,1,Yes,1723.57,6,Yes,8 5 1 6 3 4 ,4
