SubjectName 014,SessionNumber 1,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,84867.87,0.17,89901.22,1,Yes,5246.41,6,Yes,1 3 2 5 8 6,3
2,0.02,97667.9,0.16,102701.24,1,Yes,1294.4,4,Yes,1 8 9 6,8
3,0.03,106517.91,0.16,111551.26,1,No,1052.44,2,No,2 3,8
4,0.01,115134.6,0.16,120167.94,1,No,1539.84,6,No,1 2 4 7 5 3,6
5,0.01,124234.62,0.16,129267.96,1,Yes,1719.87,2,Yes,3 9,3
6,0.02,133517.97,0.16,138551.31,1,No,1004.6,2,No,3 1,5
7,0.02,142084.65,0.16,147117.99,1,Yes,1765.93,6,Yes,8 7 9 4 3 6,8
8,0.02,151418,0.17,156451.34,1,Yes,1800.63,2,Yes,5 7,7
9,0.01,160784.68,0.16,165818.03,1,No,1322.01,6,No,1 2 4 7 5 3,6
10,0.01,169668.04,0.16,174701.38,1,Yes,1446.72,6,Yes,5 3 7 8 4 1,7
11,0.02,178668.05,0.16,183701.4,1,Yes,1270.75,6,Yes,1 3 2 5 8 6,3
12,0.01,187501.4,0.17,192534.75,1,No,3037.47,4,No,5 7 4 1,6
13,0.01,198101.42,0.16,203134.77,1,Yes,1045.5,6,Yes,8 7 9 4 3 6,8
14,0.02,206701.44,0.17,211734.78,1,No,1877.56,4,No,7 2 5 4,3
15,0.02,216134.79,0.17,221168.13,1,Yes,1140.25,2,Yes,2 3,2
16,0.01,224834.81,0.16,229868.15,1,No,1912.31,6,No,5 4 7 6 3 1,2
17,0.01,234301.49,0.16,239334.84,1,No,1517.69,6,No,5 4 7 6 3 1,2
18,0.02,243384.85,0.16,248418.19,1,Yes,2346.39,4,Yes,1 3 8 2,1
19,0.01,253284.86,0.24,258318.2,1,Yes,1254.41,4,Yes,3 5 8 4,8
20,0.01,262101.55,0.16,267134.89,1,Yes,1101.78,6,Yes,5 3 7 8 4 1,7
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NumberSet-OnsetError,NumberSet-OnsetTime,Probe-OnsetError,Probe-OnsetTime,Probe-Mouse-IsCorrect,Probe-Mouse-Responses,Probe-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
1,0.01,340151.7,0.15,345185.04,1,No,868.09,4,No,6 1 3 4 ,9
2,0.01,346568.38,0.17,351601.72,1,Yes,1163.41,4,Yes,5 4 7 3 ,5
3,0.03,353268.39,0.18,358301.73,1,Yes,1439.49,2,Yes,4 1 ,1
4,0.03,360251.73,0.16,365285.08,1,Yes,776.19,6,Yes,6 8 5 3 2 9 ,8
5,0.01,366568.41,0.16,371601.76,1,Yes,1107.57,4,Yes,6 9 8 5 ,8
6,0.02,373218.42,0.17,378251.77,1,No,1385.57,6,No,3 1 5 4 2 6 ,7
7,0.01,380151.77,0.16,385185.12,1,Yes,1284.26,6,Yes,9 2 5 8 1 6 ,1
8,0.01,386985.12,0.17,392018.46,1,Yes,1050.95,2,Yes,6 4 ,6
9,0.01,393585.13,0.25,398618.47,1,No,1162.98,2,No,1 9 ,4
10,0.02,400285.14,0.16,405318.49,1,No,1479.03,8,No,4 9 6 3 5 7 2 1 ,8
11,0.01,407301.82,0.16,412335.17,0,Yes,2158.42,8,No,6 9 7 5 8 2 1 3 ,4
12,0.01,415001.84,0.16,420035.18,1,No,818.41,2,No,9 7 ,4
13,0.01,421368.52,0.15,426401.86,1,Yes,1372.44,2,Yes,6 9 ,6
14,0.03,428285.2,0.17,433318.54,1,No,1503.13,2,No,2 7 ,4
15,0.01,435335.21,0.15,440368.55,1,Yes,1901.13,8,Yes,2 7 8 1 4 5 6 9 ,2
16,0.01,442785.23,0.17,447818.57,1,No,1779.18,4,No,4 8 1 5 ,9
17,0.01,450101.9,0.16,455135.25,1,No,758.56,2,No,9 7 ,2
18,0.01,456401.92,0.17,461435.26,1,Yes,1394.59,2,Yes,1 7 ,1
19,0.01,463335.27,0.15,468368.61,1,Yes,917.28,8,Yes,3 2 8 6 1 7 5 9 ,5
20,0.01,469801.94,0.16,474835.29,1,No,1154.62,8,No,8 7 4 1 9 5 3 2 ,6
21,0.01,476501.96,0.16,481535.3,0,No,3358.68,4,Yes,3 5 6 4 ,4
22,0.01,485401.97,0.16,490435.32,1,Yes,2530.69,6,Yes,8 6 1 9 5 7 ,5
23,0.03,493468.66,0.16,498502,1,Yes,1096.11,6,Yes,8 2 6 5 9 3 ,2
24,0.01,500102,0.16,505135.35,1,Yes,774.79,8,Yes,9 8 5 1 6 4 7 3 ,6
25,0.02,506418.68,0.16,511452.03,1,No,1236.46,6,No,8 1 7 5 3 9 ,2
26,0.01,513202.03,0.17,518235.37,1,No,1178.85,6,No,2 7 4 1 8 5 ,9
27,0.01,519918.71,0.16,524952.05,1,No,1174.16,4,No,6 1 5 3 ,4
28,0.02,526635.39,0.17,531668.73,1,No,1330.05,8,No,7 5 8 6 2 4 3 1 ,9
29,0.01,533502.06,0.16,538535.41,1,Yes,1782.89,2,Yes,7 5 ,5
30,0.01,540818.74,0.24,545852.09,1,Yes,1482.28,2,Yes,2 1 ,2
31,0.03,547835.42,0.15,552868.77,1,Yes,1793.61,6,Yes,6 8 1 9 4 3 ,9
32,0.01,555168.77,0.16,560202.12,1,No,1740.33,2,No,6 9 ,3
33,0.04,562452.12,0.16,567485.46,1,No,1217.05,6,No,7 5 1 3 2 9 ,6
34,0.03,569218.8,0.17,574252.14,1,Yes,1250.37,8,Yes,3 8 6 4 1 2 9 7 ,2
35,0.01,576018.81,0.16,581052.16,1,No,1642.4,2,No,3 2 ,5
36,0.01,583202.16,0.17,588235.5,1,No,2027.12,8,No,2 3 4 7 1 8 5 6 ,9
37,0.03,590768.84,0.16,595802.18,1,Yes,1181.58,8,Yes,8 4 7 6 5 9 1 3 ,4
38,0.01,597485.52,0.17,602518.86,1,Yes,1087.83,8,Yes,7 9 1 5 8 2 4 6 ,4
39,0.02,604118.87,0.17,609152.21,1,Yes,1318.56,8,Yes,6 3 1 7 2 8 4 5 ,4
40,0.01,610985.55,0.16,616018.89,1,No,1227.92,8,No,2 8 3 4 9 7 6 5 ,1
41,0.01,617752.23,0.16,622785.57,1,Yes,1861.26,2,Yes,5 9 ,5
42,0.01,625152.24,0.16,630185.58,1,No,1333.27,2,No,7 6 ,9
43,0.01,632035.59,0.15,637068.93,1,Yes,1393.97,4,Yes,1 5 6 8 ,1
44,0.01,638968.93,0.16,644002.28,1,No,1926.6,2,No,9 7 ,3
45,0.01,646435.62,0.16,651468.96,1,No,1082.03,4,No,6 7 1 5 ,2
46,0.01,653052.29,0.17,658085.64,1,No,945.4,6,No,1 2 8 4 7 5 ,9
47,0.01,659535.64,0.15,664568.98,1,No,1374.1,2,No,8 1 ,2
48,0.03,666452.32,0.17,671485.66,1,No,1561.47,8,No,2 8 3 7 9 4 5 6 ,1
